date,temperature_2m,wind_speed_10m,rain,snowfall,precipitation,wind_speed_100m,year,month,day,hour,day_of_week,is_weekend,time_of_day,season,temperature_category,temperature_delta,is_comfortable_temp,wind_category,wind_ratio,is_windy,has_precipitation,is_rainy,is_snowy,precipitation_category,feels_like_temp,weather_severity,is_good_biking_weather
2023-02-14 05:00:00+00:00,6.3225,22.768396,0.0,0.0,0.0,39.81704,2023,2,14,5,1,0,Night,Winter,Cold,-0.25,0,Storm,1.7487854656076782,1,0,0,0,,2.435731720427335,6.2768396,0
2023-09-07 04:00:00+00:00,25.322498,7.92,0.0,0.0,0.0,13.004921,2023,9,7,4,3,0,Night,Fall,Warm,-1.5,0,Light breeze,1.6420354797979797,0,0,0,0,,25.322498,4.792,0
2023-08-21 00:00:00+00:00,23.572498,8.891344,0.0,0.0,0.0,18.25026,2023,8,21,0,0,0,Night,Summer,Warm,-3.1500020000000006,1,Light breeze,2.05258732538073,0,0,0,0,,23.572498,0.8891344,1
2023-11-27 16:00:00+00:00,9.9225,21.647945,0.0,0.0,0.0,28.943642,2023,11,27,16,0,0,Afternoon,Fall,Cold,1.5999999999999996,0,Storm,1.337015684398681,1,0,0,0,,7.1252479870531324,6.1647945,0
2023-12-07 02:00:00+00:00,0.8725,13.830749,0.0,0.0,0.0,25.864943,2023,12,7,2,3,0,Night,Winter,Cold,-0.3,0,Moderate,1.8701042871937013,0,0,0,0,,-3.121013287066772,5.3830749,0
2023-08-10 03:00:00+00:00,21.8725,12.599999,0.0,0.0,0.0,27.086262,2023,8,10,3,3,0,Night,Summer,Warm,-0.5,1,Moderate,2.1497035039447225,0,0,0,0,,21.8725,1.2599999,1
2023-07-21 18:00:00+00:00,28.6225,15.629971,0.1,0.0,0.1,19.513195,2023,7,21,18,4,0,Evening,Summer,Warm,0.3000019999999992,0,Strong,1.2484472939841027,1,1,1,0,,28.6225,5.762997100000001,0
2023-07-13 01:00:00+00:00,26.8725,7.628263,0.0,0.0,0.0,10.805998,2023,7,13,1,3,0,Night,Summer,Warm,-0.7999989999999997,0,Light breeze,1.4165738648497044,0,0,0,0,,26.8725,4.7628263,0
2023-04-11 03:00:00+00:00,9.6225,11.792404,0.0,0.0,0.0,28.079998,2023,4,11,3,1,0,Night,Spring,Cold,0.0999999999999996,0,Moderate,2.3811936904468336,0,0,0,0,,7.888660287550517,5.179240399999999,0
2023-02-08 13:00:00+00:00,3.1225,15.281989,0.0,0.0,0.0,30.05515,2023,2,8,13,2,0,Afternoon,Winter,Cold,1.6499999,0,Strong,1.9667040723560263,1,0,0,0,,-0.6126829188813281,5.5281989,0
2023-11-07 12:00:00+00:00,11.5225,17.595861,3.9,0.0,3.9,31.76375,2023,11,7,12,1,0,Afternoon,Fall,Mild,0.3500000000000014,1,Strong,1.8051830484453133,1,1,1,0,Moderate,11.5225,4.7595861,0
2023-02-01 08:00:00+00:00,-2.1775,15.978484,0.0,0.07,0.1,21.603,2023,2,1,8,2,0,Morning,Winter,Freezing,-0.3500000000000003,0,Strong,1.3520056095434336,1,1,0,1,,-7.292843023785383,5.7978484,0
