Vol,Yr,M,D,HH,MM,WktGeom,Boro,street,Direction,datetime_hour,day_of_week,is_weekend,day_name,time_of_day,season,is_peak_hour,hourly_mean_vol,rel_volume,volume_category,vol_zscore,is_vol_outlier,boro_Bronx,boro_Brooklyn,boro_Manhattan,boro_Queens,boro_Staten Island,boro_avg_vol,boro_rel_vol,direction_cardinal,dir_EB,dir_NB,dir_SB,dir_WB,is_major_street,dow_hour_key,typical_vol_for_time,vol_vs_typical,congestion_index,location_id,location_weekday_vol,location_weekend_vol,weekday_weekend_ratio
39,2023,6,3,13,15,POINT (1016787.9863509124 181688.32005456314),Brooklyn,ASHFORD STREET,SB,2023-06-03 13:15:00,5,1,Saturday,Midday,Summer,0,195.74495289367428,0.1992388535360307,Medium-Low,0.908561034722082,0,False,True,False,False,False,168.5789953697208,0.2313455476138456,South,False,False,True,False,0,5_13,185.43269230769232,0.2103189007000259,0.0,Brooklyn_ASHFORD STREET_SB,27.463541666666668,24.1875,1.135443583118002
72,2023,10,15,3,45,POINT (987363.6729658039 192374.79121034782),Brooklyn,ADAMS STREET,SB,2023-10-15 03:45:00,6,1,Sunday,Early Morning,Fall,0,35.767833109017495,2.012981881808433,Medium-High,-1.3946698047177402,0,False,True,False,False,False,168.5789953697208,0.4270994725178688,South,False,False,True,False,0,6_3,50.38657407407408,1.428952083429044,3.1447604171452195,Brooklyn_ADAMS STREET_SB,199.96875,205.125,0.9748628884826326
53,2023,9,19,12,15,POINT (934809.8187338817 166982.50661650137),Staten Island,MEEKER AVENUE,EB,2023-09-19 12:15:00,1,0,Tuesday,Midday,Fall,0,188.849932705249,0.2806461153614533,Medium-Low,0.4512982761300615,0,False,False,False,False,True,64.00611995104039,0.8280458187520319,East,True,False,False,False,0,1_12,219.09375,0.2419055769505063,0.0,Staten Island_MEEKER AVENUE_EB,38.515625,34.182291666666664,1.1267712936157246
68,2023,3,16,16,0,POINT (1016157.6184144891 244943.47834071927),Bronx,VYSE AVENUE,NB,2023-03-16 16:00:00,3,0,Thursday,Evening Rush,Spring,1,207.03835800807536,0.3284415537981986,Medium-Low,1.9441247437272493,0,True,False,False,False,False,100.42338154269972,0.6771331432519686,North,False,True,False,False,0,3_16,216.2313084112149,0.3144780489913233,0.0,Bronx_VYSE AVENUE_NB,30.6375,23.75,1.29
11,2023,9,11,23,45,POINT (934809.8187338817 166982.50661650137),Staten Island,MEEKER AVENUE,EB,2023-09-11 23:45:00,0,0,Monday,Night,Fall,0,108.81258411843876,0.1010912486742055,Low,-0.7951691169671469,0,False,False,False,False,True,64.00611995104039,0.171858566156082,East,True,False,False,False,0,0_23,73.66414141414141,0.1493263857941106,0.0,Staten Island_MEEKER AVENUE_EB,38.515625,34.182291666666664,1.1267712936157246
78,2023,3,10,9,45,POINT (1009897.1684092807 250376.60107739424),Bronx,JEROME AVENUE,SB,2023-03-10 09:45:00,4,0,Friday,Morning Rush,Spring,1,179.4421265141319,0.434680537481577,Medium-High,0.9591373494691504,0,True,False,False,False,False,100.42338154269972,0.7767115466713758,South,False,False,True,False,0,4_9,156.22549019607845,0.4992783181675557,0.0,Bronx_JEROME AVENUE_SB,54.208333333333336,54.28125,0.9986566877758588
62,2023,12,2,17,30,POINT (1002441.9849237476 229118.71658459055),Manhattan,EAST 116 STREET,WB,2023-12-02 17:30:00,5,1,Saturday,Evening Rush,Winter,1,206.28802153432036,0.3005506550446265,Medium-Low,1.2966668188637314,0,False,False,True,False,False,109.86825396825397,0.5643122354334917,West,False,False,False,True,0,5_17,188.4278846153846,0.3290383486847141,0.0,Manhattan_EAST 116 STREET_WB,35.00416666666667,35.690104166666664,0.980780736957315
35,2023,12,5,5,0,POINT (984569.9732092462 156811.2663837685),Brooklyn,BAY PARKWAY,NB,2023-12-05 05:00:00,1,0,Tuesday,Early Morning,Winter,0,96.092866756393,0.3642309900976231,Medium-Low,-1.6008924981779418,0,False,True,False,False,False,168.5789953697208,0.2076177991406307,North,False,True,False,False,0,1_5,139.12946428571428,0.2515642547729825,0.0,Brooklyn_BAY PARKWAY_NB,162.18333333333334,157.22916666666666,1.0315092089572016
55,2023,5,3,13,15,POINT (999725.6730184525 192836.2813155484),Brooklyn,MYRTLE AVENUE,EB,2023-05-03 13:15:00,2,0,Wednesday,Midday,Spring,0,195.74495289367428,0.2809778703713254,Medium-Low,0.1392209727098886,0,False,True,False,False,False,168.5789953697208,0.3262565415067053,East,True,False,False,False,0,2_13,236.97747747747744,0.2320895664239959,0.0,Brooklyn_MYRTLE AVENUE_EB,51.46853146853147,51.125,1.0067194419272658
498,2023,6,22,10,45,POINT (1056415.1868210472 170827.2200271171),Queens,HOOK CREEK BRIDGE,NB,2023-06-22 10:45:00,3,0,Thursday,Midday,Summer,0,176.79306864064603,2.81685251480219,High,0.7977887887551102,0,False,False,False,True,False,193.52805962670675,2.5732702583831224,North,False,True,False,False,1,3_10,182.8855140186916,2.723015011178537,9.615075055892683,Queens_HOOK CREEK BRIDGE_NB,367.3072916666667,308.9322916666667,1.1889572620753603
24,2023,4,29,3,45,POINT (999725.6730184525 192836.2813155484),Brooklyn,MYRTLE AVENUE,WB,2023-04-29 03:45:00,5,1,Saturday,Early Morning,Spring,0,35.767833109017495,0.6709939606028109,Low,-1.1250005256342486,0,False,True,False,False,False,168.5789953697208,0.1423664908392896,West,False,False,False,True,0,5_3,47.26923076923077,0.5077298616761595,0.0,Brooklyn_MYRTLE AVENUE_WB,46.8513986013986,47.083333333333336,0.9950739525960764
57,2023,5,1,7,15,POINT (999725.6730184525 192836.2813155484),Brooklyn,MYRTLE AVENUE,EB,2023-05-01 07:15:00,0,0,Monday,Morning Rush,Spring,1,184.4135262449529,0.3090879566192341,Medium-Low,0.2151019589759397,0,False,True,False,False,False,168.5789953697208,0.3381204157433128,East,True,False,False,False,0,0_7,166.2348484848485,0.3428883926536936,0.0,Brooklyn_MYRTLE AVENUE_EB,51.46853146853147,51.125,1.0067194419272658
29,2023,5,28,5,30,POINT (1001064.4614978336 246298.1775532012),Manhattan,BROADWAY,SB,2023-05-28 05:30:00,6,1,Sunday,Early Morning,Spring,0,96.092866756393,0.3017913917951734,Medium-Low,-1.2255986941654566,0,False,False,True,False,False,109.86825396825397,0.2639524972188913,South,False,False,True,False,0,6_5,54.74768518518518,0.5297027609826224,0.0,Manhattan_BROADWAY_SB,65.50694444444444,55.40625,1.1823024378015918
1183,2023,4,25,15,45,POINT (1035852.0563073272 200167.76815625254),Queens,GRAND CENTRAL PARKWAY,WB,2023-04-25 15:45:00,1,0,Tuesday,Evening Rush,Spring,0,207.08310901749664,5.712682244402885,High,0.8349571178333159,0,False,False,False,True,False,193.52805962670675,6.112808665998461,West,False,False,False,True,1,1_15,257.7700892857143,4.589361020427603,10.0,Queens_GRAND CENTRAL PARKWAY_WB,805.8958333333334,,
21,2023,3,5,11,0,POINT (1049945.3061012689 216034.33471385224),Queens,46 AVENUE,EB,2023-03-05 11:00:00,6,1,Sunday,Midday,Spring,0,182.1019515477793,0.1153200161860434,Low,-0.0090107372641115,0,False,False,False,True,False,193.52805962670675,0.1085113964378425,East,True,False,False,False,0,6_11,178.7523148148148,0.1174809961020965,0.0,Queens_46 AVENUE_EB,23.397569444444443,14.59375,1.6032595764929811
34,2023,11,15,21,45,POINT (1050796.0649834706 182183.91991279385),Queens,BELT PARKWAY EXIT 21 WESTBOUND,NB,2023-11-15 21:45:00,2,0,Wednesday,Night,Fall,0,146.35666218034993,0.2323092061098185,Medium-Low,-0.4760797819884231,0,False,False,False,True,False,193.52805962670675,0.1756851180422212,North,False,True,False,False,0,2_21,174.05855855855856,0.1953365596128464,0.0,Queens_BELT PARKWAY EXIT 21 WESTBOUND_NB,46.72291666666667,42.333333333333336,1.1036909448818897
111,2023,12,8,22,15,POINT (984685.0325587712 156956.40363726346),Brooklyn,BAY PARKWAY,SB,2023-12-08 22:15:00,4,0,Friday,Night,Winter,0,130.4915881561238,0.850629543010822,Medium-High,-0.3486254993117873,0,False,True,False,False,False,168.5789953697208,0.6584450201317145,South,False,False,True,False,0,4_22,100.0563725490196,1.1093746172500796,1.5468730862503977,Brooklyn_BAY PARKWAY_SB,136.91041666666666,128.05208333333334,1.0691775807370048
